,Quantity,Unit Price,Discount,Year,Month,Day,DayOfWeek,IsWeekend,Quarter,Sales_Lag_7,Sales_Lag_14,Rolling_Avg_7,Rolling_Avg_14,Customer_Count,Is_Holiday,Temperature_Avg,Weekend_Holiday,Holiday_Rainfall,Season,Rainfall_Category
26,1,8276,0,2025,4,22,1,0,2,,,8276.0,8276.0,25,0,14.65,0,0.0,Summer,None
27,3,731,0,2024,12,12,3,0,4,,,2193.0,2193.0,26,0,23.425,0,0.0,Winter,Light
28,2,67085,20,2025,8,27,2,0,3,,,107336.0,107336.0,21,0,13.075,0,0.0,Monsoon,None
29,5,79453,15,2024,4,22,0,0,2,,,337675.25,337675.25,25,0,11.8,0,0.0,Summer,None
30,2,25545,10,2025,1,7,1,0,1,,,45981.0,45981.0,20,0,26.925,0,0.0,Winter,None
31,4,76643,5,2023,12,11,0,0,4,,,291243.4,291243.4,20,0,13.4,0,0.0,Winter,None
32,4,60561,20,2024,6,24,0,0,2,,,193795.2,193795.2,31,0,21.075,0,0.0,Monsoon,None
33,4,19080,20,2025,7,11,4,0,3,,,61056.0,61056.0,25,0,16.4,0,0.0,Monsoon,None
34,2,48271,20,2023,12,31,6,1,4,,,77233.6,77233.6,25,0,26.0,0,0.0,Winter,None
35,4,7232,15,2025,3,8,5,1,1,,,24588.8,24588.8,19,0,26.0,0,0.0,Summer,None
36,2,78467,0,2024,12,2,0,0,4,,,156934.0,156934.0,20,0,21.525,0,0.0,Winter,None
37,4,34124,5,2023,10,19,3,0,4,,,129671.2,129671.2,31,0,14.65,0,0.0,Winter,None
38,2,60907,0,2025,9,30,1,0,3,,,121814.0,121814.0,27,0,16.7,0,0.0,Monsoon,None
39,5,9102,10,2023,11,16,3,0,4,,,29088.3,29088.3,19,0,14.65,0,0.0,Winter,None
40,5,76782,20,2024,9,18,2,0,3,,,184092.0,184092.0,25,0,16.4,0,0.0,Monsoon,None
41,5,57559,5,2025,7,1,1,0,3,,,273405.25,273405.25,17,0,11.425,0,0.0,Monsoon,None
42,2,68630,0,2024,2,11,6,1,1,,,137260.0,137260.0,22,0,21.525,0,0.0,Winter,None
43,5,64105,20,2024,10,23,2,0,4,,,256420.0,256420.0,23,0,24.375,0,0.0,Winter,None
44,2,68202,0,2023,11,3,4,0,4,,,136404.0,136404.0,26,0,16.4,0,0.0,Winter,None
45,1,36207,15,2023,11,20,0,0,4,,,101821.35,101821.35,27,0,22.0,0,0.0,Winter,None
46,3,55843,10,2025,10,1,2,0,4,,,150776.1,150776.1,28,0,13.075,0,0.0,Winter,None
47,5,60512,5,2025,9,3,2,0,3,,,222183.0,222183.0,20,0,21.525,0,0.0,Monsoon,None
48,1,70834,10,2025,1,22,2,0,1,,,85543.3,85543.3,21,0,13.075,0,0.0,Winter,None
49,1,33485,0,2024,4,28,6,1,2,,,33485.0,33485.0,21,0,21.075,0,0.0,Summer,None
50,5,8568,5,2024,5,4,5,1,2,,,40698.0,40698.0,25,0,16.075,0,0.0,Summer,None
51,4,64645,5,2025,5,6,1,0,2,,,245651.0,245651.0,20,0,16.7,0,0.0,Summer,None
52,5,12976,0,2025,9,2,1,0,3,,,64880.0,64880.0,21,0,26.925,0,0.0,Monsoon,None
53,3,27698,20,2024,4,15,0,0,2,,,55754.25,55754.25,23,0,22.0,0,0.0,Summer,None
54,2,28261,15,2023,12,9,5,1,4,,,48043.7,48043.7,28,0,23.425,0,0.0,Winter,Light
55,5,42462,0,2024,5,19,6,1,2,,,212310.0,212310.0,25,0,13.4,0,0.0,Summer,None
56,4,62926,0,2023,12,5,1,0,4,,,251704.0,251704.0,28,0,16.075,0,0.0,Winter,None
57,4,73473,15,2024,10,16,2,0,4,,,249808.2,249808.2,25,0,16.075,0,0.0,Winter,None
58,3,29226,15,2024,10,9,2,0,4,,,122873.025,122873.025,24,0,22.0,0,0.0,Winter,None
59,2,9860,10,2025,5,16,4,0,2,,,17748.0,17748.0,21,0,21.849998,0,0.0,Summer,None
60,5,17665,0,2025,4,30,2,0,2,,,88325.0,88325.0,37,0,21.075,0,0.0,Summer,None
61,2,13751,15,2024,4,9,1,0,2,,,23376.7,23376.7,37,0,24.925,0,0.0,Summer,None
62,5,11226,10,2025,1,26,6,1,1,,,50517.0,50517.0,32,1,22.0,1,0.0,Winter,None
63,4,70618,5,2023,12,27,2,0,4,,,268348.4,268348.4,23,0,22.0,0,0.0,Winter,None
64,3,37492,15,2024,6,23,6,1,2,,,82281.6,82281.6,27,0,21.175,0,0.0,Monsoon,None
65,2,34997,0,2024,6,22,5,1,2,,,69994.0,69994.0,26,0,11.8,0,0.0,Monsoon,None
66,2,71572,10,2025,5,28,2,0,2,,,128829.6,128829.6,29,0,21.525,0,0.0,Summer,None
67,5,38936,5,2024,2,23,4,0,1,,,124913.0,124913.0,21,0,26.925,0,0.0,Winter,None
68,1,19506,0,2023,11,24,4,0,4,,,19506.0,19506.0,23,0,23.425,0,0.0,Winter,Light
69,5,48227,10,2025,1,2,3,0,1,,,217021.5,217021.5,19,0,16.7,0,0.0,Winter,None
70,3,2697,5,2024,8,31,5,1,3,,,7686.45,7686.45,27,0,21.175,0,0.0,Monsoon,None
71,4,47678,20,2025,6,18,2,0,2,,,137191.8,137191.8,27,0,16.7,0,0.0,Monsoon,None
72,1,39545,15,2025,4,1,1,0,2,,,42433.35,42433.35,34,0,11.8,0,0.0,Summer,None
73,5,60787,15,2024,3,14,3,0,1,,,263346.575,263346.575,23,0,22.0,0,0.0,Summer,None
74,1,26035,20,2024,12,9,0,0,4,,,147116.625,147116.625,17,0,11.425,0,0.0,Winter,None
75,5,41865,10,2025,1,17,4,0,1,,,110938.75,110938.75,21,0,21.075,0,0.0,Winter,None
76,4,76576,10,2025,3,4,1,0,1,,,111283.39999999998,111283.39999999998,19,0,14.65,0,0.0,Summer,None
77,2,33749,20,2024,4,10,2,0,2,,,53998.4,53998.4,28,0,21.175,0,0.0,Summer,None
78,4,46014,15,2024,7,5,4,0,3,,,103482.3,103482.3,32,0,22.0,0,0.0,Monsoon,None
79,5,55423,10,2025,2,17,0,0,1,,,249403.5,249403.5,24,0,21.525,0,0.0,Winter,None
80,5,5463,5,2023,12,5,1,0,4,,,25949.25,25949.25,25,0,24.375,0,0.0,Winter,None
81,1,4714,0,2024,12,13,4,0,4,,,4714.0,4714.0,24,0,25.0,0,0.0,Winter,None
82,4,31170,10,2025,6,20,4,0,2,,,164616.75,164616.75,19,0,16.7,0,0.0,Monsoon,None
83,1,8927,20,2024,7,20,5,1,3,,,7141.6,7141.6,26,0,26.925,0,0.0,Monsoon,None
84,1,16256,5,2024,11,1,4,0,4,,,8818.1,8818.1,26,0,23.425,0,0.0,Winter,Light
85,2,22240,0,2025,6,2,0,0,2,,,137554.66666666666,137554.66666666666,25,0,16.4,0,0.0,Monsoon,None
86,3,62172,0,2024,3,29,4,0,1,,,116248.5,116248.5,20,1,26.925,0,0.0,Summer,None
87,5,39458,5,2023,11,15,2,0,4,,,158548.35,158548.35,31,0,14.65,0,0.0,Winter,None
88,4,34376,5,2024,12,25,2,0,4,,,130628.8,130628.8,25,1,26.0,0,0.0,Winter,None
89,4,53084,15,2025,2,26,2,0,1,,,93697.0,93697.0,24,1,21.849998,0,0.0,Winter,None
90,3,60656,0,2025,6,8,6,1,2,,,181968.0,181968.0,36,0,16.4,0,0.0,Monsoon,None
91,1,73564,15,2025,1,29,2,0,1,,,79376.7,79376.7,25,0,11.8,0,0.0,Winter,None
92,5,26060,5,2025,1,11,5,1,1,,,123785.0,123785.0,22,0,16.075,0,0.0,Winter,None
93,4,72702,5,2025,1,8,2,0,1,,,174672.9,174672.9,24,0,25.0,0,0.0,Winter,None
94,2,40818,20,2024,1,12,4,0,1,,,65308.8,65308.8,23,0,16.075,0,0.0,Winter,None
95,3,24183,0,2024,5,31,4,0,2,,,72549.0,72549.0,22,0,22.0,0,0.0,Summer,None
96,4,19526,15,2024,10,17,3,0,4,,,66388.4,66388.4,24,0,16.075,0,0.0,Winter,None
97,5,54037,0,2023,11,26,6,1,4,,,270185.0,270185.0,24,0,21.849998,0,0.0,Winter,None
98,5,63813,0,2024,2,12,0,0,1,,,319065.0,319065.0,23,0,26.0,0,0.0,Winter,None
99,3,74680,10,2023,12,24,6,1,4,,,201636.0,201636.0,28,0,14.65,0,0.0,Winter,None
100,4,13189,10,2025,6,16,0,0,2,,,47480.4,47480.4,24,0,24.375,0,0.0,Monsoon,None
101,4,1138,10,2024,11,4,0,0,4,,,26070.25,26070.25,28,0,23.425,0,0.0,Winter,Light
102,5,76226,20,2025,8,14,3,0,3,,,275277.5,275277.5,20,0,16.7,0,0.0,Monsoon,None
103,3,31343,15,2025,2,10,0,0,1,,,79924.65,79924.65,28,0,21.525,0,0.0,Winter,None
104,4,61338,15,2023,11,17,4,0,4,,,208549.2,208549.2,31,0,14.65,0,0.0,Winter,None
105,1,8623,20,2024,5,19,6,1,2,,,6898.4,6898.4,27,0,21.849998,0,0.0,Summer,None
106,3,41142,5,2024,10,27,6,1,4,,,117254.7,117254.7,18,0,24.925,0,0.0,Winter,None
107,5,13088,10,2024,6,8,5,1,2,,,53188.2,53188.2,24,0,24.375,0,0.0,Monsoon,None
108,1,44965,10,2024,9,7,5,1,3,,,126389.25,126389.25,25,0,13.4,0,0.0,Monsoon,None
109,4,28822,10,2025,1,5,6,1,1,,,103759.2,103759.2,21,0,26.925,0,0.0,Winter,None
110,2,30299,10,2024,10,22,1,0,4,,,54538.2,54538.2,25,0,11.425,0,0.0,Winter,None
111,2,44595,20,2024,4,12,4,0,2,,,70673.0,70673.0,26,0,11.8,0,0.0,Summer,None
112,3,32301,20,2023,10,4,2,0,4,,,51735.825,51735.825,25,0,24.375,0,0.0,Winter,None
113,3,78217,0,2023,11,30,3,0,4,,,234651.0,234651.0,25,0,21.175,0,0.0,Winter,None
114,5,19154,15,2024,11,23,5,1,4,,,81404.5,81404.5,30,0,24.925,0,0.0,Winter,None
115,4,25790,20,2025,5,15,3,0,2,,,96497.53333333333,96497.53333333333,32,0,22.0,0,0.0,Summer,None
116,3,78010,10,2024,5,10,4,0,2,,,210627.0,210627.0,16,0,20.225,0,0.0,Summer,Light
117,4,8753,5,2025,1,30,3,0,1,,,33261.4,33261.4,26,0,16.7,0,0.0,Winter,None
118,5,49477,20,2024,9,26,3,0,3,,,163368.8,163368.8,29,0,21.525,0,0.0,Monsoon,None
119,1,54160,15,2025,1,10,4,0,1,,,46036.0,46036.0,31,0,24.375,0,0.0,Winter,None
120,2,58592,5,2025,5,16,4,0,2,,,215194.9,215194.9,23,0,26.0,0,0.0,Summer,None
121,1,6284,0,2025,4,25,4,0,2,,,70323.025,70323.025,25,0,25.0,0,0.0,Summer,None
122,4,79276,20,2025,6,23,0,0,2,,,143707.6,143707.6,25,0,13.075,0,0.0,Monsoon,None
123,3,22072,20,2024,12,2,0,0,4,,,52972.8,52972.8,30,0,13.4,0,0.0,Winter,None
124,1,61175,15,2024,11,22,4,0,4,,,96462.23749999999,96462.23749999999,19,0,14.65,0,0.0,Winter,None
125,3,53034,15,2024,6,3,0,0,2,,,135236.7,135236.7,24,0,16.075,0,0.0,Monsoon,None
126,3,20304,10,2025,2,9,6,1,1,,,84279.65,84279.65,25,0,14.65,0,0.0,Winter,None
127,3,19607,0,2024,11,12,1,0,4,,,58821.0,58821.0,24,0,21.075,0,0.0,Winter,None
128,1,26827,10,2025,7,31,3,0,3,,,92307.59999999999,92307.59999999999,25,0,13.4,0,0.0,Monsoon,None
129,5,31262,15,2024,3,7,3,0,1,,,132863.5,132863.5,22,0,21.175,0,0.0,Summer,None
130,4,61765,5,2024,7,3,2,0,3,,,125117.68333333333,125117.68333333333,25,0,25.0,0,0.0,Monsoon,None
131,4,2962,20,2024,8,22,3,0,3,,,64346.7,64346.7,27,0,16.075,0,0.0,Monsoon,None
132,3,17679,15,2024,8,1,3,0,3,,,45081.45,45081.45,20,0,20.225,0,0.0,Monsoon,Light
133,1,79310,15,2024,1,23,1,0,1,,,67413.5,67413.5,27,0,11.8,0,0.0,Winter,None
134,4,33270,5,2024,8,6,1,0,3,,,126426.0,126426.0,23,0,24.925,0,0.0,Monsoon,None
135,3,35928,5,2024,3,24,6,1,1,,,102394.8,102394.8,24,0,21.849998,0,0.0,Summer,None
136,1,62438,5,2025,3,26,2,0,1,,,52198.774999999994,52198.774999999994,20,0,20.225,0,0.0,Summer,Light
137,4,41162,0,2024,10,18,4,0,4,,,164648.0,164648.0,32,0,21.525,0,0.0,Winter,None
138,4,78576,5,2025,1,15,2,0,1,,,298588.8,298588.8,32,0,16.4,0,0.0,Winter,None
139,3,38456,5,2025,8,13,2,0,3,,,122418.15000000001,122418.15000000001,24,0,16.075,0,0.0,Monsoon,None
140,1,51518,10,2024,9,29,6,1,3,,,46366.2,46366.2,25,0,25.0,0,0.0,Monsoon,None
141,3,25964,0,2023,12,5,1,0,4,,,77892.0,77892.0,20,0,13.075,0,0.0,Winter,None
142,5,38240,5,2024,4,20,5,1,2,,,152712.5,152712.5,22,0,16.075,0,0.0,Summer,None
143,2,40778,0,2024,4,2,1,0,2,,,43135.0,43135.0,24,0,25.0,0,0.0,Summer,None
144,5,22147,5,2024,8,14,2,0,3,,,52446.25,52446.25,28,0,23.425,0,0.0,Monsoon,Light
145,1,48776,15,2024,11,13,2,0,4,,,41459.6,41459.6,20,0,24.925,0,0.0,Winter,None
146,2,74802,15,2024,1,1,0,0,1,,,127163.4,127163.4,15,0,21.075,0,0.0,Winter,None
147,1,77440,20,2024,1,14,6,1,1,,,61952.0,61952.0,22,0,13.075,0,0.0,Winter,None
148,1,42881,5,2024,6,14,4,0,2,,,36999.175,36999.175,26,0,16.7,0,0.0,Monsoon,None
149,4,11205,10,2024,3,4,0,0,1,,,39248.6,39248.6,38,0,21.525,0,0.0,Summer,None
150,4,67259,5,2025,8,24,6,1,3,,,255584.2,255584.2,27,0,13.4,0,0.0,Monsoon,None
151,3,21886,10,2025,8,25,0,0,3,,,157756.1,157756.1,23,0,24.375,0,0.0,Monsoon,None
152,3,8844,0,2025,7,11,4,0,3,,,27937.8,27937.8,25,0,13.4,0,0.0,Monsoon,None
153,3,32484,5,2023,12,29,4,0,4,,,60472.799999999996,60472.799999999996,45,0,26.925,0,0.0,Winter,None
154,2,26027,5,2023,12,12,1,0,4,,,49451.3,49451.3,31,0,13.4,0,0.0,Winter,None
155,4,43826,5,2024,12,22,6,1,4,,,207971.15,207971.15,24,0,21.525,0,0.0,Winter,None
156,1,39221,15,2024,4,7,6,1,2,,,141573.025,141573.025,25,0,16.075,0,0.0,Summer,None
157,1,54312,0,2025,2,3,0,0,1,,,54312.0,54312.0,18,0,14.65,0,0.0,Winter,None
158,1,15748,0,2025,6,21,5,1,2,,,15748.0,15748.0,30,0,16.7,0,0.0,Monsoon,None
159,2,68044,10,2024,7,31,2,0,3,,,122479.2,122479.2,24,0,22.0,0,0.0,Monsoon,None
160,5,8465,0,2025,9,26,4,0,3,,,42325.0,42325.0,19,0,22.0,0,0.0,Monsoon,None
161,1,63767,20,2024,7,22,0,0,3,,,118812.86666666665,118812.86666666665,22,0,16.075,0,0.0,Monsoon,None
162,5,43178,0,2024,9,14,5,1,3,,,153575.43333333335,153575.43333333335,24,0,16.075,0,0.0,Monsoon,None
163,5,44801,15,2024,6,21,4,0,2,,,190404.25,190404.25,23,0,25.0,0,0.0,Monsoon,None
164,4,71174,5,2025,8,21,3,0,3,,,270461.2,270461.2,29,0,11.425,0,0.0,Monsoon,None
165,2,56852,5,2025,9,18,3,0,3,,,62172.0,62172.0,38,0,21.525,0,0.0,Monsoon,None
166,3,8167,15,2025,4,1,1,0,2,,,88857.3,88857.3,24,0,22.0,0,0.0,Summer,None
167,2,59433,10,2024,4,7,6,1,2,,,106979.4,106979.4,29,0,26.925,0,0.0,Summer,None
168,3,42341,0,2024,3,21,3,0,1,,,129943.25,129943.25,22,0,21.175,0,0.0,Summer,None
169,5,23230,10,2025,7,28,0,0,3,,,140543.9,140543.9,31,0,14.65,0,0.0,Monsoon,None
170,3,39790,0,2024,6,29,5,1,2,,,119370.0,119370.0,23,0,16.4,0,0.0,Monsoon,None
171,3,15794,15,2024,10,29,1,0,4,,,51113.35,51113.35,22,0,13.075,0,0.0,Winter,None
172,1,10635,0,2025,1,16,3,0,1,,,28500.6,28500.6,25,0,25.0,0,0.0,Winter,None
173,1,64954,10,2025,4,16,2,0,2,,,113868.21666666667,113868.21666666667,25,0,16.075,0,0.0,Summer,None
174,1,47269,20,2024,9,28,5,1,3,,,37815.2,37815.2,36,0,16.4,0,0.0,Monsoon,None
175,5,21181,15,2023,12,23,5,1,4,,,90019.25,90019.25,21,0,13.4,0,0.0,Winter,None
176,2,40371,0,2024,6,17,0,0,2,,,80742.0,80742.0,25,1,13.4,0,0.0,Monsoon,None
177,5,18936,10,2024,11,13,2,0,4,,,85212.0,85212.0,20,0,21.075,0,0.0,Winter,None
178,1,44366,20,2024,10,21,0,0,4,,,35492.8,35492.8,23,0,20.225,0,0.0,Winter,Light
179,1,54330,0,2025,3,25,1,0,1,,,162257.5,162257.5,24,0,21.849998,0,0.0,Summer,None
180,4,27952,20,2024,8,3,5,1,3,,,75990.93333333333,75990.93333333333,28,0,24.925,0,0.0,Monsoon,None
181,5,10007,0,2024,8,2,4,0,3,,,50035.0,50035.0,31,0,26.0,0,0.0,Monsoon,None
182,2,8172,0,2023,12,2,5,1,4,,,16344.0,16344.0,24,0,16.7,0,0.0,Winter,None
183,5,27145,10,2025,2,27,3,0,1,,,177277.5,177277.5,24,0,23.425,0,0.0,Winter,Light
184,4,73974,0,2024,10,9,2,0,4,,,295896.0,295896.0,23,0,21.175,0,0.0,Winter,None
185,4,36775,5,2025,4,20,6,1,2,,,140344.175,140344.175,31,0,14.65,0,0.0,Summer,None
186,2,8566,15,2024,8,3,5,1,3,,,102483.225,102483.225,23,0,25.0,0,0.0,Monsoon,None
187,2,10036,0,2024,6,23,6,1,2,,,20072.0,20072.0,24,0,24.375,0,0.0,Monsoon,None
188,4,33969,10,2023,12,4,0,0,4,,,94850.95,94850.95,27,0,11.8,0,0.0,Winter,None
189,2,29047,20,2023,10,19,3,0,4,,,31111.6,31111.6,30,0,16.7,0,0.0,Winter,None
190,4,15118,15,2024,8,22,3,0,3,,,151552.6,151552.6,28,0,16.075,0,0.0,Monsoon,None
191,4,24282,10,2025,5,14,2,0,2,,,61188.4875,61188.4875,28,0,23.425,0,0.0,Summer,Light
192,1,57488,20,2023,10,10,1,0,4,,,88309.6,88309.6,25,0,26.0,0,0.0,Winter,None
193,1,68404,5,2024,8,16,4,0,3,,,130573.8,130573.8,29,0,21.525,0,0.0,Monsoon,None
194,4,27157,15,2025,1,2,3,0,1,,,92333.8,92333.8,35,0,13.075,0,0.0,Winter,None
195,1,13561,0,2024,8,24,5,1,3,,,50943.0,50943.0,37,0,21.075,0,0.0,Monsoon,None
196,4,72077,10,2024,4,17,2,0,2,,,133187.80000000002,133187.80000000002,27,0,21.849998,0,0.0,Summer,None
197,3,40130,5,2024,1,22,0,0,1,,,112082.66666666667,112082.66666666667,21,0,21.075,0,0.0,Winter,None
198,2,48439,10,2024,6,20,3,0,2,,,125919.1,125919.1,32,0,21.525,0,0.0,Monsoon,None
199,5,50870,20,2024,10,30,2,0,4,,,177128.05,177128.05,28,0,13.075,0,0.0,Winter,None
200,1,73982,15,2024,7,11,3,0,3,,,62884.7,62884.7,26,0,26.925,0,0.0,Monsoon,None
201,4,27226,20,2024,5,3,4,0,2,,,87123.2,87123.2,26,0,23.425,0,0.0,Summer,Light
202,2,39988,5,2024,2,10,5,1,1,,,165780.7,165780.7,27,0,13.4,0,0.0,Winter,None
203,4,65084,10,2025,9,6,5,1,3,,,226222.80000000002,226222.80000000002,20,0,21.525,0,0.0,Monsoon,None
204,2,32591,5,2025,5,16,4,0,2,,,61922.9,61922.9,26,0,16.4,0,0.0,Summer,None
205,3,19535,10,2025,1,15,2,0,1,,,80046.16666666667,80046.16666666667,24,0,21.849998,0,0.0,Winter,None
206,4,22065,10,2024,5,13,0,0,2,,,134649.66666666666,134649.66666666666,24,0,21.849998,0,0.0,Summer,None
207,2,48559,5,2024,9,14,5,1,3,,,92262.1,92262.1,23,0,21.849998,0,0.0,Monsoon,None
208,3,47479,0,2024,12,27,4,0,4,,,142437.0,142437.0,24,0,21.849998,0,0.0,Winter,None
209,3,62485,5,2023,12,24,6,1,4,,,178082.25,178082.25,24,0,16.7,0,0.0,Winter,None
210,5,18762,5,2024,3,16,5,1,1,,,89119.5,89119.5,21,0,21.849998,0,0.0,Summer,None
211,5,76126,10,2024,5,6,0,0,2,,,198282.7,198282.7,28,0,21.175,0,0.0,Summer,None
212,2,60550,10,2025,3,20,3,0,1,,,108990.0,108990.0,22,0,21.525,0,0.0,Summer,None
213,3,42839,5,2024,1,11,3,0,1,,,87515.98749999999,87515.98749999999,28,0,24.925,0,0.0,Winter,None
214,4,21265,0,2024,3,3,6,1,1,,,85060.0,85060.0,25,0,21.175,0,0.0,Summer,None
215,3,50927,15,2025,7,17,3,0,3,,,107461.925,107461.925,25,0,21.175,0,0.0,Monsoon,None
216,4,29195,15,2025,3,8,5,1,1,,,139997.325,139997.325,24,0,16.075,0,0.0,Summer,None
217,5,39970,20,2024,12,1,6,1,4,,,159880.0,159880.0,24,0,13.075,0,0.0,Winter,None
218,4,19169,10,2025,3,7,4,0,1,,,74875.2,74875.2,25,0,13.4,0,0.0,Summer,None
219,3,12676,15,2024,11,22,4,0,4,,,26197.9,26197.9,24,0,24.375,0,0.0,Winter,None
220,4,16526,15,2025,1,10,4,0,1,,,56188.4,56188.4,22,0,22.0,0,0.0,Winter,None
221,4,4135,15,2024,3,3,6,1,1,,,39176.88333333333,39176.88333333333,25,0,24.375,0,0.0,Summer,None
222,2,22859,5,2024,10,2,2,0,4,,,43432.1,43432.1,23,1,21.075,0,0.0,Winter,None
223,2,77443,15,2025,9,4,3,0,3,,,111765.26666666668,111765.26666666668,27,0,22.0,0,0.0,Monsoon,None
224,3,70729,0,2023,11,12,6,1,4,,,125419.9,125419.9,32,1,22.0,1,0.0,Winter,None
225,5,57741,0,2024,5,14,1,0,2,,,288705.0,288705.0,28,0,21.849998,0,0.0,Summer,None
226,5,65635,10,2024,7,18,3,0,3,,,316516.375,316516.375,25,0,11.8,0,0.0,Monsoon,None
227,3,17427,10,2025,9,3,2,0,3,,,39860.05,39860.05,28,0,13.4,0,0.0,Monsoon,None
228,5,41707,10,2024,5,4,5,1,2,,,98019.3,98019.3,24,0,24.375,0,0.0,Summer,None
229,3,12925,20,2024,8,7,2,0,3,,,50655.19999999999,50655.19999999999,45,0,26.925,0,0.0,Monsoon,None
230,4,28451,20,2024,11,6,2,0,4,,,140092.23333333334,140092.23333333334,19,0,16.7,0,0.0,Winter,None
231,1,46500,20,2024,2,16,4,0,1,,,153830.6,153830.6,29,0,11.425,0,0.0,Winter,None
232,4,73548,20,2024,11,28,3,0,4,,,235353.6,235353.6,35,0,24.375,0,0.0,Winter,None
233,3,51697,5,2025,8,14,3,0,3,,,83421.225,83421.225,23,0,23.425,0,0.0,Monsoon,Light
234,1,39944,15,2025,7,17,3,0,3,,,47937.65,47937.65,26,0,16.4,0,0.0,Monsoon,None
235,4,18454,20,2025,2,4,1,0,1,,,158331.69999999998,158331.69999999998,24,0,21.525,0,0.0,Winter,None
236,2,30222,0,2024,12,14,5,1,4,,,108949.2625,108949.2625,25,0,25.0,0,0.0,Winter,None
237,5,7034,15,2024,2,1,3,0,1,,,64819.23333333334,64819.23333333334,27,0,21.175,0,0.0,Winter,None
238,5,57335,20,2025,7,15,1,0,3,,,263964.4,263964.4,32,0,16.4,0,0.0,Monsoon,None
239,4,9093,10,2024,10,26,5,1,4,,,41384.9,41384.9,31,0,26.0,0,0.0,Winter,None
240,2,34565,15,2023,10,30,0,0,4,,,58760.5,58760.5,27,0,23.425,0,0.0,Winter,Light
241,5,52040,0,2023,12,29,4,0,4,,,247776.8,247776.8,35,0,24.375,0,0.0,Winter,None
242,2,53365,20,2025,2,13,3,0,1,,,85384.0,85384.0,28,0,20.225,0,0.0,Winter,Light
243,4,15498,0,2024,9,19,3,0,3,,,54014.0,54014.0,31,0,24.375,0,0.0,Monsoon,None
244,1,3128,15,2023,10,30,0,0,4,,,38656.1,38656.1,45,0,26.925,0,0.0,Winter,None
245,5,23664,15,2024,3,31,6,1,1,,,100572.0,100572.0,37,0,21.175,0,0.0,Summer,None
246,2,28416,10,2025,2,24,0,0,1,,,51148.8,51148.8,21,0,26.0,0,0.0,Winter,None
